交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-05-30,'3520,華盈,18.86,158.0,,,18.86,158.0,,,,,,0.0,0.0,0.0
2022-06-06,'3520,華盈,,,16.99,-290.0,18.86,-132.0,-295460.0,1274.0,1148.0,8053.0,-305935.0,,0.0,
