Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2312,金寶,"-4,886","-82,522",16.89,147761,3.31
'2340,台亞,"-1,262","-90,109",71.4,64024,1.97
'2880,華南金,"-3,052","-63,743",20.89,7113,42.91
