Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,7950,
'1102,,,,,10962,
'1103,,,,,1636,
'1104,,,,,549,
'1108,,,,,184,
'1109,,,,,438,
'1110,,,,,254,
'1201,,,,,1123,
'1203,,,,,24,
'1210,,,,,1569,
'1213,,,,,10,
'1215,,,,,429,
'1216,,,,,6915,
'1217,,,,,2330,
'1218,,,,,395,
'1219,,,,,594,
'1220,,,,,309,
'1225,,,,,18,
'1227,,,,,369,
'1229,,,,,806,
'1231,,,,,376,
'1232,,,,,47,
'1233,,,,,29,
'1234,,,,,86,
'1235,,,,,4,
'1236,,,,,10,
'1240,,,,,60,
'1256,,,,,93,
'1258,,,,,55,
'1259,,,,,13,
'1264,,,,,21,
'1268,,,,,9,
'1301,,,,,5682,
'1303,,,,,3538,
'1304,,,,,5391,
'1305,,,,,13355,
'1307,,,,,98,
'1308,,,,,3356,
'1309,,,,,9232,
'1310,,,,,5255,
'1312,,,,,7802,
'1313,,,,,2722,
'1314,,,,,21942,
'1315,,,,,40,
'1316,,,,,365,
'1319,,,,,464,
'1321,,,,,327,
'1323,,,,,49,
'1324,,,,,45,
'1325,,,,,544,
'1326,,,,,2332,
'1336,,,,,187,
'1337,,,,,635,
'1338,,,,,267,
'1339,,,,,23,
'1340,,,,,150,
'1341,,,,,2,
'1342,,,,,26,
'1402,,,,,2528,
'1409,,,,,3464,
'1410,,,,,3,
'1413,,,,,32,
'1414,,,,,516,
'1416,,,,,453,
'1417,,,,,175,
'1418,,,,,0,
'1419,,,,,1,
'1423,,,,,86,
'1432,,,,,36,
'1434,,,,,532,
'1435,,,,,28,
'1436,,,,,28,
'1437,,,,,32,
'1438,,,,,138,
'1439,,,,,5,
'1440,,,,,3400,
'1441,,,,,47,
'1442,,,,,1199,
'1443,,,,,18,
'1444,,,,,2396,
'1445,,,,,230,
'1446,,,,,79,
'1447,,,,,3152,
'1449,,,,,90,
'1451,,,,,267,
'1452,,,,,561,
'1453,,,,,62,
'1454,,,,,53,
'1455,,,,,11667,
'1456,,,,,1512,
'1457,,,,,531,
'1459,,,,,688,
'1460,,,,,892,
'1463,,,,,285,
'1464,,,,,221,
'1465,,,,,8,
'1466,,,,,321,
'1467,,,,,3110,
'1468,,,,,50,
'1470,,,,,87,
'1471,,,,,554,
'1472,,,,,0,
'1473,,,,,44,
'1474,,,,,663,
'1475,,,,,72,
'1476,,,,,475,
'1477,,,,,488,
'1503,,,,,119,
'1504,,,,,650,
'1506,,,,,77,
'1512,,,,,71,
'1513,,,,,1789,
'1514,,,,,830,
'1515,,,,,326,
'1516,,,,,38,
'1517,,,,,7312,
'1519,,,,,385,
'1521,,,,,13,
'1522,,,,,166,
'1524,,,,,295,
'1525,,,,,80,
'1526,,,,,544,
'1527,,,,,586,
'1528,,,,,378,
'1529,,,,,355,
'1530,,,,,245,
'1531,,,,,178,
'1532,,,,,4791,
'1533,,,,,197,
'1535,,,,,35,
'1536,,,,,484,
'1537,,,,,111,
'1538,,,,,0,
'1539,,,,,36,
'1540,,,,,47,
'1541,,,,,10,
'1558,,,,,148,
'1560,,,,,6512,
'1565,,,,,244,
'1568,,,,,103,
'1569,,,,,226,
'1570,,,,,726,
'1580,,,,,219,
'1582,,,,,203,
'1583,,,,,14,
'1584,,,,,1208,
'1586,,,,,142,
'1587,,,,,425,
'1589,,,,,451,
'1590,,,,,1437,
'1591,,,,,18,
'1593,,,,,2372,
'1595,,,,,308,
'1597,,,,,689,
'1598,,,,,419,
'1599,,,,,124,
'1603,,,,,129,
'1604,,,,,2013,
'1605,,,,,10921,
'1608,,,,,3307,
'1609,,,,,3827,
'1611,,,,,193,
'1612,,,,,740,
'1614,,,,,14,
'1615,,,,,97,
'1616,,,,,402,
'1617,,,,,99,
'1618,,,,,495,
'1626,,,,,63,
'1701,,,,,510,
'1702,,,,,216,
'1707,,,,,102,
'1708,,,,,4459,
'1709,,,,,965,
'1710,,,,,1563,
'1711,,,,,1115,
'1712,,,,,322,
'1713,,,,,26,
'1714,,,,,4034,
'1717,,,,,1284,
'1718,,,,,4367,
'1720,,,,,129,
'1721,,,,,119,
'1722,,,,,1119,
'1723,,,,,108,
'1725,,,,,274,
'1726,,,,,22,
'1727,,,,,19787,
'1730,,,,,21,
'1731,,,,,190,
'1732,,,,,168,
'1733,,,,,117,
'1734,,,,,2148,
'1735,,,,,4,
'1736,,,,,375,
'1737,,,,,322,
'1742,,,,,88,
'1752,,,,,48,
'1760,,,,,473,
'1762,,,,,5206,
'1773,,,,,357,
'1776,,,,,944,
'1777,,,,,150,
'1781,,,,,56,
'1783,,,,,1130,
'1784,,,,,332,
'1785,,,,,11388,
'1786,,,,,20,
'1788,,,,,34,
'1789,,,,,535,
'1795,,,,,1637,
'1796,,,,,6,
'1799,,,,,69,
'1802,,,,,22254,
'1805,,,,,42,
'1806,,,,,1139,
'1808,,,,,35,
'1809,,,,,813,
'1810,,,,,164,
'1813,,,,,41,
'1815,,,,,14535,
'1817,,,,,17,
'1903,,,,,1162,
'1904,,,,,3703,
'1905,,,,,4717,
'1906,,,,,310,
'1907,,,,,2317,
'1909,,,,,11358,
'2002,,,,,80065,
'2006,,,,,15461,
'2007,,,,,23721,
'2008,,,,,781,
'2009,,,,,4435,
'2010,,,,,4919,
'2012,,,,,2428,
'2013,,,,,2763,
'2014,,,,,22881,
'2015,,,,,580,
'2017,,,,,2521,
'2020,,,,,1298,
'2022,,,,,7884,
'2023,,,,,25817,
'2024,,,,,1335,
'2025,,,,,525,
'2027,,,,,20617,
'2028,,,,,2644,
'2029,,,,,2919,
'2030,,,,,12858,
'2031,,,,,4082,
'2032,,,,,4637,
'2033,,,,,415,
'2034,,,,,4594,
'2035,,,,,64,
'2038,,,,,3501,
'2049,,,,,1055,
'2059,,,,,987,
'2061,,,,,45,
'2062,,,,,1420,
'2063,,,,,131,
'2064,,,,,138,
'2065,,,,,181,
'2066,,,,,5,
'2067,,,,,40,
'2069,,,,,8458,
'2070,,,,,569,
'2101,,,,,1113,
'2102,,,,,604,
'2103,,,,,2487,
'2104,,,,,1487,
'2105,,,,,4636,
'2106,,,,,1096,
'2107,,,,,272,
'2108,,,,,2455,
'2109,,,,,190,
'2114,,,,,192,
'2115,,,,,6,
'2201,,,,,2516,
'2204,,,,,944,
'2206,,,,,651,
'2207,,,,,167,
'2208,,,,,3821,
'2211,,,,,720,
'2221,,,,,2476,
'2227,,,,,20,
'2228,,,,,225,
'2230,,,,,10,
'2231,,,,,257,
'2233,,,,,526,
'2235,,,,,1,
'2236,,,,,23,
'2239,,,,,256,
'2241,,,,,250,
'2243,,,,,969,
'2247,,,,,33,
'2250,,,,,302,
'2301,,,,,3900,
'2302,,,,,458,
'2303,,,,,420645,
'2305,,,,,1021,
'2308,,,,,5262,
'2312,,,,,2371,
'2313,,,,,7979,
'2314,,,,,5419,
'2316,,,,,172,
'2317,,,,,29727,
'2321,,,,,18,
'2323,,,,,12438,
'2324,,,,,8131,
'2327,,,,,4241,
'2328,,,,,3966,
'2329,,,,,35819,
'2330,,,,,26715,
'2331,,,,,13702,
'2332,,,,,1547,
'2337,,,,,24101,
'2338,,,,,9488,
'2340,,,,,19963,
'2342,,,,,14410,
'2344,,,,,51956,
'2345,,,,,8342,
'2347,,,,,2059,
'2348,,,,,117,
'2349,,,,,2828,
'2351,,,,,3367,
'2352,,,,,4711,
'2353,,,,,14983,
'2354,,,,,6038,
'2355,,,,,1107,
'2356,,,,,5519,
'2357,,,,,1839,
'2358,,,,,4577,
'2359,,,,,110,
'2360,,,,,591,
'2362,,,,,104,
'2363,,,,,53524,
'2364,,,,,78,
'2365,,,,,226,
'2367,,,,,3534,
'2368,,,,,23404,
'2369,,,,,32221,
'2371,,,,,115756,
'2373,,,,,14,
'2374,,,,,623,
'2375,,,,,1170,
'2376,,,,,13057,
'2377,,,,,4844,
'2379,,,,,2058,
'2380,,,,,342,
'2382,,,,,2629,
'2383,,,,,2860,
'2385,,,,,1251,
'2387,,,,,655,
'2388,,,,,4726,
'2390,,,,,4754,
'2392,,,,,549,
'2393,,,,,4497,
'2395,,,,,827,
'2397,,,,,21,
'2399,,,,,3157,
'2401,,,,,103687,
'2402,,,,,654,
'2404,,,,,433,
'2405,,,,,572,
'2406,,,,,19125,
'2408,,,,,10469,
'2409,,,,,149594,
'2412,,,,,4436,
'2413,,,,,319,
'2414,,,,,731,
'2415,,,,,876,
'2417,,,,,932,
'2419,,,,,176,
'2420,,,,,278,
'2421,,,,,184,
'2423,,,,,229,
'2424,,,,,10,
'2425,,,,,465,
'2426,,,,,3424,
'2427,,,,,118,
'2428,,,,,675,
'2429,,,,,11,
'2430,,,,,1918,
'2431,,,,,149,
'2433,,,,,28,
'2434,,,,,2,
'2436,,,,,34615,
'2438,,,,,52,
'2439,,,,,967,
'2440,,,,,485,
'2441,,,,,8715,
'2442,,,,,3706,
