Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'1314,中石化,"-10,296","-140,155",13.61,519020,1.98
'2880,華南金,-263,"-6,395",24.32,21139,1.24
'3710,連展投控,-269,"-3,772",14.02,2112,12.74
