交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-05-20,'00637L,元大滬深300正2,,,16.01,-115.0,-0.0,-115.0,,,,,,0.0,0.0,0.0
2022-06-07,'00637L,元大滬深300正2,,,17.02,-126.0,-0.0,-241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-15,'00637L,元大滬深300正2,,,17.73,-107.0,-0.0,-348.0,0.0,0.0,0.0,0.0,0.0,,0.0,
