Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'1402,遠東新,-304,"-9,089",29.9,7410,4.1
'2457,飛宏,-418,"-8,426",20.16,61023,0.68
'2610,華航,-352,"-5,146",14.62,304035,0.12
'3545,敦泰,-476,"-63,618",133.65,50890,0.94
