Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00637L,元大滬深300正2,-208,"-4,517",21.72,68619,0.3
'2332,友訊,-342,"-6,423",18.78,6300,5.43
'3036,文曄,-588,"-38,563",65.58,6757,8.7
