交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-05-10,'2618,長榮航,35.27,304.0,,,35.27,304.0,,,,,,0.0,0.0,0.0
2022-05-12,'2618,長榮航,,,33.46,-407.0,35.27,-103.0,-550240.0,4584.0,4348.0,30516.0,-589688.0,0.0,0.0,
2022-05-13,'2618,長榮航,32.33,210.0,,,29.499906542056063,107.0,,,,,,0.0,0.0,
2022-05-18,'2618,長榮航,32.12,109.0,,,30.822083333333328,216.0,,,,,,0.0,0.0,
2022-05-25,'2618,長榮航,,,32.75,-232.0,30.822083333333328,-16.0,102060.0,3204.0,3248.0,22794.0,72814.0,0.0,0.0,
2022-06-06,'2618,長榮航,35.13,163.0,,,35.598888888888894,147.0,,,,,,0.0,0.0,
2022-06-13,'2618,長榮航,,,32.68,-159.0,35.598888888888894,-12.0,89040.0,2183.0,2221.0,15588.0,69048.0,,0.0,
2022-06-14,'2618,長榮航,32.08,130.0,,,31.722146892655367,118.0,,,,,,130.0,130.0,
2022-06-16,'2618,長榮航,,,32.78,-136.0,31.722146892655367,-18.0,-319600.0,2042.0,1906.0,13374.0,-336922.0,,130.0,
2022-06-17,'2618,長榮航,29.77,189.0,,,29.564510853404695,171.0,,,,,,189.0,319.0,
