交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-06-13,'4908,前鼎,37.57,182.0,,,37.57,182.0,,,,,,0.0,0.0,0.0
2022-06-14,'4908,前鼎,,,34.99,-121.0,37.57,61.0,-312179.0,1943.0,1810.0,12701.0,-328633.0,,0.0,
