Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00632R,元大台灣50反1,-288,"-1,814",6.3,242623,0.12
'2014,中鴻,-905,"-15,859",17.52,70153,1.29
'2610,華航,"-17,213","-228,908",13.3,1013047,1.7
'2883,開發金,-305,"-2,872",9.42,86462,0.35
