Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'1314,中石化,-827,"-12,652",15.3,706484,0.12
'2023,燁輝,"-5,178","-195,057",37.67,288393,1.8
'2617,台航,-935,"-69,404",74.23,118949,0.79
'3481,群創,-251,"-5,372",21.4,328144,0.08
