Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'3596,智易,-105,"-13,072",124.5,2476,4.24
'5272,笙科,-135,"-6,301",46.67,20637,0.65
'6235,華孚,-386,"-17,465",45.25,49003,0.79
'6470,宇智,-361,"-22,963",63.61,6143,5.88
