Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'1727,中華化,-621,"-19,022",30.63,26652,2.33
'3707,漢磊,-257,"-29,413",114.45,62791,0.41
'3711,日月光投控,-214,"-21,725",101.52,19900,1.08
