Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,13735,
'1102,,,,,6971,
'1103,,,,,811,
'1104,,,,,920,
'1108,,,,,256,
'1109,,,,,419,
'1110,,,,,637,
'1201,,,,,7650,
'1203,,,,,10,
'1210,,,,,1418,
'1213,,,,,12,
'1215,,,,,561,
'1216,,,,,2855,
'1217,,,,,1921,
'1218,,,,,450,
'1219,,,,,528,
'1220,,,,,233,
'1225,,,,,442,
'1227,,,,,491,
'1229,,,,,1744,
'1231,,,,,354,
'1232,,,,,55,
'1233,,,,,27,
'1234,,,,,143,
'1235,,,,,66,
'1236,,,,,57,
'1240,,,,,13,
'1256,,,,,102,
'1258,,,,,19,
'1259,,,,,4,
'1264,,,,,18,
'1268,,,,,21,
'1301,,,,,14837,
'1303,,,,,9947,
'1304,,,,,30290,
'1305,,,,,36256,
'1307,,,,,289,
'1308,,,,,45763,
'1309,,,,,4705,
'1310,,,,,4334,
'1312,,,,,24522,
'1313,,,,,12758,
'1314,,,,,30309,
'1315,,,,,184,
'1316,,,,,2318,
'1319,,,,,623,
'1321,,,,,247,
'1323,,,,,93,
'1324,,,,,116,
'1325,,,,,1564,
'1326,,,,,3947,
'1336,,,,,110,
'1337,,,,,591,
'1338,,,,,203,
'1339,,,,,22,
'1340,,,,,212,
'1341,,,,,43,
'1342,,,,,89,
'1402,,,,,4065,
'1409,,,,,9279,
'1410,,,,,23,
'1413,,,,,275,
'1414,,,,,5684,
'1416,,,,,251,
'1417,,,,,641,
'1418,,,,,27,
'1419,,,,,5,
'1423,,,,,326,
'1432,,,,,114,
'1434,,,,,2142,
'1435,,,,,344,
'1436,,,,,127,
'1437,,,,,86,
'1438,,,,,89,
'1439,,,,,6,
'1440,,,,,46402,
'1441,,,,,339,
'1442,,,,,6325,
'1443,,,,,32,
'1444,,,,,17279,
'1445,,,,,65,
'1446,,,,,98,
'1447,,,,,10703,
'1449,,,,,104,
'1451,,,,,370,
'1452,,,,,1589,
'1453,,,,,89,
'1454,,,,,116,
'1455,,,,,38113,
'1456,,,,,591,
'1457,,,,,1246,
'1459,,,,,1335,
'1460,,,,,5539,
'1463,,,,,454,
'1464,,,,,467,
'1465,,,,,46,
'1466,,,,,451,
'1467,,,,,1736,
'1468,,,,,66,
'1470,,,,,84,
'1471,,,,,1728,
'1472,,,,,123,
'1473,,,,,37,
'1474,,,,,1763,
'1475,,,,,32,
'1476,,,,,730,
'1477,,,,,881,
'1503,,,,,188,
'1504,,,,,1223,
'1506,,,,,170,
'1512,,,,,53,
'1513,,,,,5580,
'1514,,,,,500,
'1515,,,,,925,
'1516,,,,,148,
'1517,,,,,4389,
'1519,,,,,1015,
'1521,,,,,47,
'1522,,,,,119,
'1524,,,,,215,
'1525,,,,,73,
'1526,,,,,1129,
'1527,,,,,539,
'1528,,,,,693,
'1529,,,,,320,
'1530,,,,,79,
'1531,,,,,357,
'1532,,,,,619,
'1533,,,,,351,
'1535,,,,,154,
'1536,,,,,982,
'1537,,,,,180,
'1538,,,,,0,
'1539,,,,,120,
'1540,,,,,33,
'1541,,,,,30,
'1558,,,,,180,
'1560,,,,,1480,
'1565,,,,,541,
'1568,,,,,447,
'1569,,,,,1126,
'1570,,,,,2474,
'1580,,,,,208,
'1582,,,,,168,
'1583,,,,,18,
'1584,,,,,13017,
'1586,,,,,196,
'1587,,,,,650,
'1589,,,,,1060,
