代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1447,4222,-82,28,35,63,44.44,0.0005761904761904769,15.476190476190476
1449,4075,-5555,34,39,73,46.58,-0.013121917808219176,22.328767123287673
1451,2043,-5743,5,11,16,31.25,-0.020556249999999998,19.0625
1452,2824,14446,19,15,34,55.88,0.026661764705882354,30.352941176470587
1453,3321,-1711,19,37,56,33.93,-0.020849999999999997,28.428571428571427
1454,1618,-3948,9,17,26,34.62,-0.023611538461538465,31.307692307692307
1455,4336,-8596,23,34,57,40.35,-0.007771929824561403,24.157894736842106
1456,4976,-9206,34,53,87,39.08,-0.02675057471264368,17.448275862068964
1457,2962,238,21,24,45,46.67,0.0037199999999999998,27.866666666666667
1459,2386,824,16,17,33,48.48,0.0019333333333333327,25.363636363636363
1460,3042,-8712,17,26,43,39.53,-0.021069767441860465,38.23255813953488
1463,2714,-4134,16,22,38,42.11,-0.008249999999999999,19.789473684210527
1464,2961,-2901,15,16,31,48.39,0.0014870967741935474,37.903225806451616
1465,1646,1544,10,11,21,47.62,0.0034428571428571425,45.857142857142854
1466,6782,-24402,28,45,73,38.36,-0.01673972602739726,16.575342465753426
1467,2873,-12023,11,23,34,32.35,-0.023200000000000002,37.029411764705884
1468,2330,-10450,9,21,30,30.0,-0.030166666666666668,48.63333333333333
1470,5474,-17504,22,45,67,32.84,-0.023999999999999997,16.791044776119403
1471,8088,-10628,33,46,79,41.77,-0.01440379746835443,17.556962025316455
1472,5695,6105,28,33,61,45.9,-0.001573770491803277,18.868852459016395
1473,2658,1902,6,7,13,46.15,0.013607692307692305,37.23076923076923
1474,2092,-14312,7,21,28,25.0,-0.044564285714285716,45.92857142857143
1475,6695,-9795,26,40,66,39.39,-0.005174242424242424,19.681818181818183
1476,83766,-512446,20,36,56,35.71,-0.0175625,22.142857142857142
1477,24882,81378,15,11,26,57.69,0.02305,25.0
1503,3214,-21854,5,11,16,31.25,-0.033212500000000006,47.0625
1504,3377,-967,12,20,32,37.5,-0.010478124999999998,28.96875
1506,0,0,0,0,0,0.0,,
1512,3887,1853,31,31,62,50.0,-0.006208064516129033,21.56451612903226
1513,4332,-3702,10,19,29,34.48,-0.008279310344827583,31.103448275862068
1514,4293,-2213,21,25,46,45.65,0.00526086956521739,20.043478260869566
1515,9633,3247,22,24,46,47.83,0.0005739130434782598,22.804347826086957
1516,5670,-13500,26,43,69,37.68,-0.01637971014492753,18.971014492753625
1517,5731,-12131,24,36,60,40.0,-0.01146333333333333,23.95
1519,7582,14308,25,19,44,56.82,0.012634090909090906,20.363636363636363
1521,12387,-307,17,22,39,43.59,-0.0027461538461538426,18.76923076923077
1522,5962,-1242,19,19,38,50.0,0.007034210526315789,21.57894736842105
1524,2871,2449,14,22,36,38.89,-0.009080555555555555,19.97222222222222
1525,18061,43559,24,25,49,48.98,0.009310204081632656,17.612244897959183
1526,6940,35140,30,33,63,47.62,0.01724285714285714,24.746031746031747
1527,9924,-5714,15,18,33,45.45,-0.0021090909090909107,23.484848484848484
1528,3052,-11862,15,21,36,41.67,-0.01828333333333333,33.861111111111114
1529,5446,-2726,36,45,81,44.44,-0.007980246913580248,20.432098765432098
1530,6561,-12721,10,17,27,37.04,-0.008125925925925927,26.962962962962962
1531,6148,-18568,15,28,43,34.88,-0.015616279069767439,22.069767441860463
1532,7429,23531,18,18,36,50.0,0.02056111111111111,44.25
1533,11201,8419,28,23,51,54.9,0.014592156862745098,22.352941176470587
1535,3610,-3660,6,11,17,35.29,-0.010735294117647056,55.23529411764706
1536,19195,-30245,20,30,50,40.0,-0.00923,24.8
1537,7347,-10667,9,14,23,39.13,-0.013173913043478258,32.130434782608695
1538,5882,788,19,32,51,37.25,-0.013915686274509804,17.980392156862745
1539,5807,15603,26,33,59,44.07,0.0064474576271186445,17.491525423728813
1540,2306,3164,8,11,19,42.11,0.004426315789473684,30.263157894736842
1541,7993,-9783,21,33,54,38.89,-0.006612962962962966,26.59259259259259
1558,10688,-19958,8,10,18,44.44,-0.003644444444444444,17.61111111111111
1560,18094,28986,20,23,43,46.51,0.004962790697674416,23.74418604651163
1568,4692,-5052,14,17,31,45.16,-0.007864516129032259,27.193548387096776
1582,9258,7352,8,14,22,36.36,-0.007427272727272729,19.227272727272727
1583,6943,-14533,10,14,24,41.67,-0.002908333333333332,21.875
1587,4683,-3713,12,23,35,34.29,-0.004497142857142857,26.285714285714285
