EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2016-10-05,2016-10-07,35.5,35.83,51,51,106,0,208,2,-538,-0.0152,35.85,0.0099,35.3,-0.0056
2016-10-11,2016-10-31,34.0,31.62,48,45,102,0,195,20,2185,0.0643,34.0,0.0,30.7,-0.0971
2016-11-25,2016-11-28,31.3,31.68,45,45,94,0,184,3,-564,-0.018,31.7,0.0128,31.3,0.0
2016-12-13,2017-01-05,32.8,33.63,47,48,0,101,196,23,634,0.0193,33.85,0.032,32.8,0.0
2017-01-10,2017-02-03,34.5,35.94,49,51,0,108,208,24,1232,0.0357,36.1,0.0464,34.5,0.0
2017-02-07,2017-02-15,35.7,36.37,51,52,0,109,212,8,458,0.0128,36.75,0.0294,35.7,0.0
2017-03-06,2017-03-10,38.6,39.75,55,57,0,119,231,4,919,0.0238,39.75,0.0298,38.6,0.0
2017-04-10,2017-04-14,43.0,41.28,61,59,0,124,244,4,-1964,-0.0457,43.0,0.0,41.05,-0.0453
2017-04-27,2017-05-03,43.4,45.43,62,65,0,136,263,6,1767,0.0407,48.15,0.1094,43.4,0.0
2017-05-05,2017-05-09,46.75,44.18,67,63,0,133,263,4,-2833,-0.0606,46.75,0.0,43.7,-0.0652
2017-05-17,2017-05-22,48.25,51.95,69,74,0,156,299,5,3401,0.0705,52.3,0.0839,48.25,0.0
2017-07-19,2017-08-23,55.6,60.69,79,86,0,182,347,35,4743,0.0853,62.9,0.1313,55.6,0.0
2017-08-24,2017-08-25,58.6,60.5,84,86,0,182,352,1,1548,0.0264,62.2,0.0614,58.6,0.0
2017-11-28,2017-11-30,63.7,61.63,91,88,191,0,370,2,1700,0.0267,64.8,0.0173,61.0,-0.0424
2017-12-01,2017-12-06,62.8,60.07,89,86,188,0,363,5,2367,0.0377,62.8,0.0,59.1,-0.0589
2017-12-14,2017-12-19,66.0,63.77,94,91,0,191,376,5,-2606,-0.0395,66.0,0.0,63.5,-0.0379
2017-12-21,2017-12-22,63.8,64.89,91,92,191,0,374,1,-1464,-0.0229,65.4,0.0251,63.2,-0.0094
2018-01-11,2018-01-23,62.4,63.71,89,91,187,0,367,12,-1677,-0.0269,64.0,0.0256,61.6,-0.0128
2018-02-02,2018-03-07,62.8,59.07,89,84,188,0,361,33,3369,0.0536,62.8,0.0,57.0,-0.0924
2018-04-03,2018-04-09,55.1,55.84,79,80,165,0,324,6,-1064,-0.0193,56.0,0.0163,55.0,-0.0018
