EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2022-03-15,2022-03-17,121.0,126.85,172,181,363,0,716,2,-6566,-0.0543,127.0,0.0496,121.0,0.0
2022-04-01,2022-04-11,128.5,120.85,183,172,386,0,741,10,6909,0.0538,128.5,0.0,118.5,-0.0778
2022-04-12,2022-06-16,114.5,96.27,163,137,344,0,644,65,17586,0.1536,114.5,0.0,95.2,-0.1686
2022-07-06,2022-07-22,82.5,89.09,118,127,248,0,493,16,-7083,-0.0859,89.5,0.0848,82.5,0.0
2022-08-04,2022-08-11,82.8,87.21,118,124,248,0,490,7,-4900,-0.0592,87.9,0.0616,82.8,0.0
2022-08-23,2022-08-31,85.4,88.15,122,126,256,0,504,8,-3254,-0.0381,93.6,0.096,84.9,-0.0059
2022-09-01,2022-09-14,95.7,87.33,136,124,0,262,522,13,-8892,-0.0929,95.7,0.0,85.7,-0.1045
2022-09-15,2022-09-28,86.4,77.04,123,110,259,0,492,13,8868,0.1026,86.4,0.0,75.0,-0.1319
2022-09-29,2022-10-13,75.0,66.3,107,94,225,0,426,14,8274,0.1103,75.0,0.0,65.5,-0.1267
2022-10-18,2022-10-21,68.2,66.3,97,94,205,0,396,3,1504,0.0221,68.4,0.0029,66.2,-0.0293
