symbol,datetime,NaOb_r,NbOa_r,NaOb_s,NbOa_s,bid1,ask1,odd_bid1,odd_ask11,bidQty1,askQty1,odd_bidQty1,odd_ask1Qty1,triggerbyOdd
2615,2022-10-21 09:30:17.113976,-0.001494768310911887,-0.001494768310911887,-0.10000000000000853,-0.10000000000000853,66.8,66.9,66.8,66.9,54.0,9.0,65.0,1877.0,True
2615,2022-10-21 09:30:17.998949,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,54.0,34.0,65.0,1877.0,False
2615,2022-10-21 09:30:20.897023,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,53.0,34.0,65.0,1877.0,False
2615,2022-10-21 09:30:20.921838,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,53.0,32.0,65.0,1877.0,False
2615,2022-10-21 09:30:20.934679,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,53.0,32.0,65.0,1877.0,False
2615,2022-10-21 09:30:21.788722,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,53.0,32.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.028037,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,53.0,30.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.063881,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,56.0,30.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.064068,-0.0029850746268657025,-0.001494768310911887,-0.20000000000000284,-0.10000000000000853,66.8,67.0,66.8,66.9,56.0,30.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.129882,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,3.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.547228,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,3.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:22.553481,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,4.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:23.426170,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,6.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:25.596281,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,5.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:25.631682,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,3.0,29.0,65.0,1877.0,False
2615,2022-10-21 09:30:25.963488,-0.0029850746268657025,0.0,-0.20000000000000284,0.0,66.9,67.0,66.8,66.9,3.0,29.0,65.0,1877.0,False
