EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2004-04-27,2004-04-30,21.6,19.44,31,28,65,0,124,3,2036,0.0943,21.6,0.0,19.4,-0.1019
2004-06-15,2004-06-18,15.3,13.77,22,20,46,0,88,3,1442,0.0942,15.3,0.0,13.6,-0.1111
2006-07-17,2006-08-09,14.5,15.95,21,23,44,0,88,23,-1538,-0.1061,16.1,0.1103,14.5,0.0
2006-09-14,2006-10-30,14.25,15.68,20,22,43,0,85,46,-1515,-0.1063,15.8,0.1088,14.25,0.0
2007-09-14,2007-10-01,14.75,16.23,21,23,44,0,88,17,-1568,-0.1063,16.5,0.1186,14.75,0.0
2007-10-30,2007-11-08,15.85,14.27,23,20,48,0,91,9,1489,0.0939,15.85,0.0,13.9,-0.123
2007-12-14,2007-12-18,11.45,10.3,20,20,34,0,74,4,1076,0.094,11.45,0.0,9.95,-0.131
2008-01-24,2008-02-27,9.5,10.45,20,20,28,0,68,34,-1018,-0.1072,10.75,0.1316,9.5,0.0
2008-10-27,2008-11-03,4.01,4.41,20,20,12,0,52,7,-452,-0.1127,4.48,0.1172,4.01,0.0
2008-11-18,2008-11-21,3.59,3.23,20,20,11,0,51,3,309,0.0861,3.59,0.0,3.07,-0.1448
2010-05-21,2010-06-01,18.15,19.96,26,28,54,0,108,11,-1918,-0.1057,20.6,0.135,18.15,0.0
2011-05-04,2011-05-23,15.8,14.22,23,20,47,0,90,19,1490,0.0943,15.8,0.0,14.15,-0.1044
2011-08-02,2011-08-05,14.35,12.91,20,20,43,0,83,3,1357,0.0946,14.35,0.0,12.6,-0.122
2012-05-15,2012-05-24,10.35,9.31,20,20,31,0,71,9,969,0.0936,10.35,0.0,8.93,-0.1372
2015-04-21,2015-05-19,8.36,7.52,20,20,25,0,65,28,775,0.0927,8.36,0.0,7.51,-0.1017
2015-06-05,2015-06-09,7.2,6.48,20,20,22,0,62,4,658,0.0914,7.2,0.0,6.38,-0.1139
2015-07-28,2015-08-24,5.6,5.04,20,20,17,0,57,27,503,0.0898,5.6,0.0,4.73,-0.1554
2016-06-15,2016-07-14,6.24,6.86,20,20,19,0,59,29,-679,-0.1088,7.13,0.1426,6.24,0.0
2018-09-10,2018-09-26,9.15,10.07,20,20,27,0,67,16,-987,-0.1079,10.35,0.1311,9.15,0.0
2019-08-28,2019-09-26,7.84,8.62,20,20,24,0,64,29,-844,-0.1077,8.75,0.1161,7.84,0.0
2020-03-12,2020-03-16,6.88,6.19,20,20,21,0,61,4,629,0.0914,6.88,0.0,6.06,-0.1192
2022-02-24,2022-03-17,21.95,24.14,31,34,66,0,131,21,-2321,-0.1057,24.2,0.1025,21.95,0.0
