EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2012-03-03,2012-04-03,43.3,38.97,62,56,0,117,235,31,-4565,-0.1054,43.3,0.0,38.5,-0.1109
2012-12-24,2012-12-27,25.05,27.56,36,39,0,83,158,3,2352,0.0939,29.35,0.1717,25.05,0.0
2013-08-29,2013-09-02,24.3,26.73,35,38,0,80,153,4,2277,0.0937,26.8,0.1029,24.3,0.0
2013-09-23,2013-11-11,25.85,23.27,37,33,0,70,140,49,-2720,-0.1052,25.85,0.0,22.5,-0.1296
2014-09-02,2014-10-09,38.2,34.38,54,49,0,103,206,37,-4026,-0.1054,38.2,0.0,34.0,-0.1099
2019-02-15,2019-06-03,37.0,40.7,53,58,0,122,233,108,3467,0.0937,41.1,0.1108,37.0,0.0
2021-04-13,2021-04-20,35.35,38.89,50,55,0,117,222,7,3318,0.0939,39.0,0.1033,35.35,0.0
